,thumb-md (59).jpg,thumb-md - 2021-09-08T141901.932.jpg,thumb-md (18).jpg,thumb-md - 2021-09-08T141856.476.jpg,thumb-md (34).jpg,thumb-md (63).jpg,thumb-md (75).jpg,thumb-md (22).jpg,thumb-md (8).jpg,thumb-md - 2021-09-08T141902.210.jpg,thumb-md (55).jpg,thumb-md - 2021-09-08T141858.146.jpg,thumb-md (14).jpg,thumb-md (43).jpg,thumb-md (38).jpg,thumb-md (80).jpg,thumb-md - 2021-09-08T141858.594.jpg,thumb-md (96).jpg,thumb-md (79).jpg,thumb-md (4).jpg,thumb-md - 2021-09-08T141859.422.jpg,thumb-md (5).jpg,thumb-md (97).jpg,thumb-md (78).jpg,thumb-md (81).jpg,thumb-md (39).jpg,thumb-md (100).jpg,thumb-md (42).jpg,thumb-md (15).jpg,thumb-md (54).jpg,thumb-md (23).jpg,thumb-md (9).jpg,thumb-md (74).jpg,thumb-md - 2021-09-08T141744.720.jpg,thumb-md - 2021-09-08T141859.192.jpg,thumb-md (62).jpg,thumb-md (35).jpg,thumb-md - 2021-09-08T141857.477.jpg,thumb-md (19).jpg,thumb-md - 2021-09-08T141903.210.jpg,thumb-md (58).jpg,thumb-md (53).jpg,thumb-md (12).jpg,thumb-md - 2021-09-08T141901.004.jpg,thumb-md (45).jpg,thumb-md (86).jpg,thumb-md (69).jpg,thumb-md (90).jpg,thumb-md (28).jpg,thumb-md (2).jpg,thumb-md - 2021-09-08T141855.851.jpg,thumb-md - 2021-09-08T141900.228.jpg,thumb-md - 2021-09-08T141902.311.jpg,thumb-md (49).jpg,thumb-md - 2021-09-08T141858.939.jpg,thumb-md (32).jpg,thumb-md.jpg,thumb-md (65).jpg,thumb-md - 2021-09-08T141857.837.jpg,thumb-md (73).jpg,thumb-md (24).jpg,thumb-md - 2021-09-08T141856.956.jpg,thumb-md (25).jpg,thumb-md (72).jpg,thumb-md (64).jpg,thumb-md (33).jpg,thumb-md (48).jpg,thumb-md (29).jpg,thumb-md (3).jpg,thumb-md - 2021-09-08T141856.028.jpg,thumb-md (91).jpg,thumb-md (87).jpg,thumb-md (68).jpg,thumb-md (44).jpg,thumb-md (13).jpg,thumb-md - 2021-09-08T141901.606.jpg,thumb-md (52).jpg,thumb-md - 2021-09-08T141856.756.jpg,thumb-md (92).jpg,thumb-md (84).jpg,thumb-md (47).jpg,thumb-md (10).jpg,thumb-md (51).jpg,thumb-md (26).jpg,thumb-md (71).jpg,thumb-md (67).jpg,thumb-md (88).jpg,thumb-md (30).jpg,thumb-md - 2021-09-08T141859.712.jpg,thumb-md - 2021-09-08T141744.771.jpg,thumb-md - 2021-09-08T141858.459.jpg,thumb-md - 2021-09-08T141903.287.jpg,thumb-md - 2021-09-08T141857.609.jpg,thumb-md (31).jpg,thumb-md (66).jpg,thumb-md (89).jpg,thumb-md (70).jpg,thumb-md (27).jpg,thumb-md - 2021-09-08T141903.053.jpg,thumb-md - 2021-09-08T141855.651.jpg,thumb-md - 2021-09-08T141902.530.jpg,thumb-md (50).jpg,thumb-md (11).jpg,thumb-md - 2021-09-08T141859.932.jpg,thumb-md (46).jpg,thumb-md (85).jpg,thumb-md - 2021-09-08T141902.096.jpg,thumb-md (93).jpg,thumb-md (1).jpg,thumb-md (20).jpg,thumb-md (77).jpg,thumb-md (98).jpg,thumb-md (61).jpg,thumb-md (36).jpg,thumb-md - 2021-09-08T141855.542.jpg,thumb-md - 2021-09-08T141856.293.jpg,thumb-md (6).jpg,thumb-md (94).jpg,thumb-md (82).jpg,thumb-md - 2021-09-08T141901.247.jpg,thumb-md - 2021-09-08T141900.727.jpg,thumb-md (41).jpg,thumb-md - 2021-09-08T141744.666.jpg,thumb-md - 2021-09-08T141903.419.jpg,thumb-md (16).jpg,thumb-md - 2021-09-08T141857.256.jpg,thumb-md (57).jpg,thumb-md (56).jpg,thumb-md (17).jpg,thumb-md (40).jpg,thumb-md (83).jpg,thumb-md - 2021-09-08T141903.346.jpg,thumb-md - 2021-09-08T141900.440.jpg,thumb-md (95).jpg,thumb-md (7).jpg,thumb-md (37).jpg,thumb-md - 2021-09-08T141855.590.jpg,thumb-md (60).jpg,thumb-md (76).jpg,thumb-md (99).jpg,thumb-md (21).jpg
thumb-md (44).jpg,0.92320985,0.7672428,0.4399267,0.6959851,0.58355683,0.6983545,0.8797173,0.46093166,0.43264213,0.5912308,0.92357635,0.6903823,0.53131634,0.90891665,0.6414542,0.9875573,0.8321543,0.92860836,0.9181814,0.71454346,0.6872018,0.59584624,0.7780348,0.7089539,0.9838058,0.49193224,0.8996511,0.88770646,0.71901906,0.8170532,0.5220052,0.44343844,0.79749405,0.7804969,0.732443,0.7521377,0.78254974,0.58230484,0.70177203,0.66497874,0.78810227,0.8237605,0.52191085,0.5571741,0.6713889,0.9713428,0.78004867,0.6246724,0.66916716,0.7556944,0.44116008,0.4941847,0.8186985,0.69655985,0.79397434,0.48174363,0.67540467,0.76541805,0.5050062,0.72067255,0.5326231,0.4244029,0.42136055,0.8664399,0.86178255,0.4859106,0.90746784,0.637504,0.4997998,0.6781787,0.8646676,0.7822459,0.9667329,1.0000002,0.6998548,0.598726,0.8874224,0.66686773,0.778932,0.81632704,0.6246635,0.45324308,0.6924512,0.43543553,0.9434365,0.7761283,0.9726294,0.7335748,0.48137677,0.636186,0.67106324,0.6590388,0.6519829,0.43431303,0.96685505,0.82122207,0.76757455,0.65658015,0.5184757,0.5547648,0.46519113,0.7016491,0.56618273,0.6957649,0.94633305,0.9670086,0.53902054,0.5546078,0.6830829,0.43427786,0.95554984,0.73777044,0.8186575,0.6327512,0.7071036,0.7334955,0.489655,0.5254762,0.88819724,0.45260698,0.42937368,0.8208082,0.6271063,0.7467671,0.4495369,0.5997359,0.83580923,0.7558432,0.6079975,0.690253,0.9771545,0.6776579,0.5644335,0.7537287,0.50769883,0.80808204,0.8428622,0.4455681,0.9069443,0.80528885,0.7504437
thumb-md (13).jpg,0.6068415,0.6170266,0.75589615,0.56582624,0.4807566,0.4483461,0.6939793,0.79985857,0.77886856,0.5575242,0.5975616,0.4768134,0.81380963,0.64180386,0.5612365,0.7051344,0.6739727,0.7187438,0.59308475,0.9355594,0.5144206,0.9124108,0.5720977,0.44405398,0.68464065,0.5013307,0.57790893,0.63485706,0.94326323,0.5433291,0.9184143,0.77322865,0.50288576,0.5422746,0.5664328,0.46714917,0.6072581,0.5222058,0.9885691,0.52950823,0.4999625,0.53116804,0.9033432,0.3937984,0.43723106,0.7279414,0.52437794,0.4649649,0.978864,0.9584616,0.32921898,0.36372286,0.73579013,0.69253296,0.6128282,0.7681671,0.99166465,0.4876025,0.3114154,0.44145778,0.89770156,0.28139517,0.7751223,0.6625992,0.54586786,0.77862114,0.6804902,0.9656923,0.89542276,0.5369137,0.6373966,0.5173591,0.7082403,0.6998548,1.0000002,0.44060934,0.64822674,0.541562,0.5172812,0.5181712,0.52463555,0.8503397,0.40845817,0.79232454,0.6724515,0.50393605,0.6964357,0.94498247,0.3910414,0.39044523,0.5159842,0.46852452,0.5209131,0.77579725,0.65824825,0.6334492,0.4997502,0.9689301,0.4787998,0.40512815,0.50177187,0.4915826,0.92851466,0.47049755,0.67097026,0.6938208,0.4361531,0.33218148,0.99686533,0.77843183,0.68383884,0.5239166,0.5461998,0.5179152,0.5841692,0.5542386,0.83069015,0.3763108,0.6173757,0.35415697,0.2646674,0.51581764,0.46882573,0.63866043,0.8198712,0.52312404,0.5284738,0.41961405,0.95725805,0.43044445,0.6630771,0.49599198,0.37492052,0.506556,0.8444704,0.6492145,0.6556264,0.37717867,0.64435524,0.6559037,0.9434256
thumb-md - 2021-09-08T141901.606.jpg,0.5540816,0.6800846,0.5558301,0.7464627,0.80188906,0.66676086,0.76501,0.51605517,0.5439288,0.7579981,0.64684904,0.8354671,0.50781536,0.5888348,0.70353305,0.5855705,0.76306653,0.53480643,0.6515539,0.45904213,0.7092179,0.5353227,0.62633216,0.62810737,0.6119303,0.67491645,0.62839687,0.5518242,0.41870353,0.6806674,0.40604308,0.5473415,0.67041963,0.718486,0.9037373,0.71191144,0.695337,0.9467838,0.43183112,0.78083956,0.6932571,0.662079,0.45265448,0.7421594,0.66850835,0.6436934,0.67647743,0.7702272,0.38136148,0.51740175,0.7873653,0.74619424,0.67946243,0.5356688,0.89499986,0.5676454,0.4467088,0.6605984,0.7220352,0.804302,0.40305406,0.7440438,0.50957084,0.7377955,0.6534195,0.5946855,0.53522336,0.4213605,0.4345587,0.73992324,0.6265544,0.76319134,0.60006535,0.598726,0.44060934,1.0000001,0.5848135,0.7543318,0.8039933,0.68193763,0.71275324,0.42551687,0.72811633,0.50439775,0.65431046,0.6539202,0.63352007,0.43935943,0.7746024,0.7304365,0.9371493,0.76927793,0.8389257,0.52497625,0.6775024,0.62205976,0.776587,0.39177,0.779827,0.74383116,0.8630755,0.7197359,0.4227576,0.7708148,0.610934,0.5739685,0.8699904,0.69948673,0.4199507,0.5498231,0.6568355,0.6340416,0.70989597,0.71381676,0.7272311,0.79706687,0.55504555,0.5844431,0.62869996,0.88233423,0.74943686,0.6314993,0.67319417,0.7006224,0.50539756,0.89663833,0.697142,0.7571864,0.44841638,0.66278803,0.62454134,0.74096346,0.9283494,0.82105374,0.53764534,0.6242212,0.7174934,0.7901739,0.5838196,0.5138305,0.4557159
thumb-md (52).jpg,0.7091243,0.9121547,0.3966879,0.77872795,0.5612307,0.64012736,0.9082473,0.41066474,0.40224433,0.67469984,0.7138787,0.57111543,0.46673372,0.97440815,0.50918823,0.8795052,0.82437366,0.9245864,0.7028867,0.78118694,0.81111324,0.44292486,0.7081604,0.6247933,0.8648497,0.5210129,0.66989064,0.974464,0.7768499,0.5951874,0.4671111,0.41312167,0.6024715,0.60352033,0.72633463,0.61702377,0.8729236,0.52770627,0.6740519,0.58960164,0.6874798,0.6215917,0.49331245,0.62829083,0.63100016,0.866539,0.5970812,0.6147124,0.66240734,0.73803383,0.50360566,0.5302908,0.8416816,0.74376124,0.7628409,0.4380189,0.5992193,0.7552387,0.54586995,0.6661548,0.46317726,0.4048911,0.39056244,0.9257571,0.6397381,0.4435734,0.97327226,0.5330357,0.4364329,0.7799712,0.90537256,0.5667268,0.86968565,0.8874224,0.64822674,0.5848135,1.0000002,0.7429675,0.62358296,0.73936516,0.5035959,0.38774264,0.5058943,0.38994282,0.859596,0.62558,0.88753927,0.7717772,0.53090084,0.608556,0.5564706,0.5085869,0.5352787,0.39484861,0.9018824,0.9680578,0.5700167,0.6567081,0.6192063,0.5779077,0.49356,0.69306445,0.52747524,0.5791458,0.8628328,0.9047145,0.55273724,0.58534306,0.62072605,0.41208357,0.8859049,0.67459387,0.6144359,0.6084195,0.7647783,0.69208163,0.3564799,0.592351,0.6907465,0.5342144,0.5536834,0.7763235,0.6374875,0.6783224,0.41088626,0.52155465,0.69628096,0.596335,0.49362785,0.6165482,0.8079291,0.5061084,0.5233483,0.56202656,0.35931295,0.9413331,0.7825738,0.37394756,0.9698966,0.9408301,0.7843973
thumb-md - 2021-09-08T141856.756.jpg,0.4999395,0.90654296,0.3929596,0.9756828,0.42129314,0.48887768,0.77722377,0.38677782,0.42663342,0.846392,0.54466504,0.7833991,0.4316294,0.7290263,0.43124044,0.66550386,0.92804873,0.64747673,0.5767335,0.6415092,0.90264136,0.46592975,0.5239767,0.45954573,0.6744385,0.48066932,0.53688365,0.69058055,0.6302057,0.47424653,0.4090905,0.41734764,0.45422778,0.50076026,0.90692395,0.47882885,0.7069091,0.7928013,0.5184332,0.7181883,0.5751359,0.4853044,0.44382384,0.7483141,0.43567687,0.69275254,0.45121205,0.51337343,0.5302446,0.6632406,0.67242223,0.723223,0.91063946,0.6418148,0.88623846,0.42909044,0.53947055,0.62032485,0.70324236,0.56774527,0.33354586,0.4591206,0.39529607,0.78430206,0.5680073,0.42121863,0.6995245,0.5020734,0.38802773,0.9832299,0.72737676,0.47511536,0.7044568,0.66686773,0.541562,0.7543318,0.7429675,1.0000001,0.52624565,0.5657666,0.40952444,0.37059984,0.42460108,0.38996175,0.7245324,0.45213014,0.69996965,0.65215397,0.74996245,0.4557395,0.73004055,0.64312875,0.8199448,0.40068197,0.7431531,0.75608355,0.5045705,0.5007045,0.8519315,0.734358,0.5886294,0.53396666,0.4557322,0.73620695,0.71321964,0.7063,0.7076164,0.50708,0.52186495,0.41391337,0.7151786,0.4896325,0.49551234,0.50678843,0.99000144,0.81063616,0.39185518,0.5083078,0.51549345,0.7233725,0.67630243,0.54477096,0.4776996,0.7484873,0.43249658,0.819095,0.516021,0.5100962,0.44483554,0.4410696,0.6105827,0.6485263,0.68942666,0.54214483,0.37301022,0.71922666,0.8978031,0.3508505,0.7188903,0.6674444,0.64515865
thumb-md (92).jpg,0.85949975,0.5488306,0.6501053,0.5786353,0.8233597,0.9032205,0.7237437,0.6325779,0.61058736,0.6098556,0.8960835,0.75641495,0.6600719,0.68581903,0.8415065,0.7382398,0.6412177,0.7102859,0.8399378,0.46109343,0.60454404,0.62830114,0.72296655,0.8963837,0.76999503,0.5591027,0.86558616,0.6385536,0.4345626,0.9504627,0.5225086,0.6320323,0.9487598,0.96243745,0.70222247,0.9468273,0.7198365,0.75495666,0.512307,0.6494335,0.8134047,0.94523996,0.5469109,0.66527575,0.9062002,0.758945,0.9352123,0.8873912,0.4579083,0.5138638,0.70760304,0.6978253,0.6087248,0.43580893,0.7536433,0.67531896,0.52072716,0.74905014,0.70039254,0.9066968,0.5335862,0.71881914,0.5960324,0.69367456,0.80414397,0.6864969,0.64486176,0.5060796,0.5545288,0.554684,0.7307882,0.94457173,0.70649767,0.778932,0.5172812,0.8039933,0.62358296,0.52624565,0.99999964,0.918216,0.848238,0.54230535,0.90770626,0.601881,0.7465856,0.94732344,0.75391495,0.44069818,0.68400073,0.91630524,0.89060664,0.7054208,0.69322133,0.6194765,0.76084286,0.5884517,0.96349424,0.49728256,0.62358934,0.7302654,0.7880343,0.897005,0.5476991,0.7974799,0.66585505,0.66408926,0.77835137,0.838377,0.5022927,0.6187286,0.71933615,0.90122265,0.9698512,0.8755084,0.5365744,0.7702847,0.63584894,0.71479315,0.9151166,0.71621144,0.6499739,0.8691886,0.8657197,0.6257827,0.5778161,0.7410999,0.9225211,0.9141398,0.5556658,0.9191496,0.8434558,0.6891066,0.84320986,0.9452557,0.6406077,0.6294686,0.6340221,0.80058324,0.6923225,0.5810719,0.46410966
thumb-md (84).jpg,0.8665452,0.642018,0.6307793,0.6508412,0.7004328,0.9553469,0.7121677,0.62228894,0.6052406,0.68036515,0.8704841,0.69932497,0.6849023,0.8127137,0.7714832,0.76344454,0.62271005,0.7968022,0.8008815,0.5033109,0.73938835,0.55722594,0.7106784,0.9442624,0.78531003,0.54043245,0.8260277,0.77239424,0.49030435,0.89636946,0.5276602,0.625323,0.9085807,0.9084895,0.6433156,0.9435677,0.78633326,0.6418367,0.5144929,0.59225637,0.843561,0.9130106,0.56573415,0.76079094,0.944308,0.75369436,0.8958869,0.8875977,0.49739784,0.50926274,0.7426045,0.7556253,0.6513271,0.4455405,0.6789201,0.67578125,0.5106142,0.8595554,0.77378875,0.92158365,0.5057428,0.69805586,0.6024885,0.70098805,0.7581653,0.647735,0.7766446,0.49967834,0.5474514,0.63323104,0.8417111,0.8467096,0.72640276,0.81632704,0.5181712,0.68193763,0.73936516,0.5657666,0.918216,1.0000001,0.7704728,0.5393907,0.80398834,0.5988382,0.7616745,0.952475,0.766669,0.482485,0.7247982,0.9155446,0.7655215,0.625974,0.6054529,0.6208925,0.7917175,0.69729483,0.8768082,0.5465875,0.68892574,0.7901823,0.70647943,0.9409273,0.57903296,0.76410127,0.6641008,0.69953465,0.77250123,0.8946118,0.5044861,0.6120113,0.7162976,0.9474113,0.91892,0.8892067,0.5802052,0.792607,0.5552285,0.8509412,0.9152582,0.71671444,0.73734117,0.93979645,0.91290444,0.5995257,0.5817927,0.6351408,0.9119767,0.8680608,0.52119625,0.96160316,0.8401476,0.606539,0.76940304,0.83899057,0.5515815,0.71050495,0.61811537,0.66805494,0.8154682,0.7168951,0.48998243
thumb-md (47).jpg,0.6748683,0.4456074,0.6691912,0.42630267,0.85126925,0.84468544,0.62392604,0.6585315,0.62165993,0.58642054,0.68639946,0.58603233,0.6999473,0.6084403,0.9836817,0.5449851,0.48261377,0.67023456,0.64832026,0.48357338,0.4525783,0.60584325,0.8214122,0.846525,0.6479171,0.72694147,0.62339216,0.52157384,0.4601949,0.7962636,0.54838204,0.6411547,0.84671587,0.8768488,0.5899693,0.7330109,0.69005436,0.6984948,0.5281051,0.63770324,0.65645134,0.8100711,0.5787651,0.543795,0.7901162,0.662662,0.9063668,0.8829359,0.49695578,0.51932836,0.58317834,0.52672696,0.46767688,0.5705977,0.6453574,0.70487034,0.5184682,0.62261623,0.49164957,0.71467906,0.597207,0.726545,0.61648923,0.5807369,0.5906625,0.7106074,0.5650571,0.5252268,0.57242286,0.42366517,0.66427624,0.8041792,0.5050323,0.6246635,0.52463555,0.71275324,0.5035959,0.40952444,0.848238,0.7704728,1.0,0.5557152,0.67561185,0.6182255,0.7046411,0.82375246,0.5957053,0.46704808,0.55918026,0.78368884,0.8054268,0.60224223,0.5772203,0.62328863,0.6176075,0.5264777,0.75958776,0.524619,0.55570936,0.54186153,0.72337407,0.82274175,0.55672216,0.5452614,0.4750474,0.4763208,0.6971031,0.7151822,0.5209495,0.6386842,0.6070208,0.8329286,0.83518577,0.87481534,0.4035626,0.6003995,0.6457131,0.5524258,0.7917254,0.6444721,0.53228974,0.6669444,0.77699506,0.6257708,0.59384,0.62484944,0.8934138,0.64685756,0.5755284,0.78260666,0.7076737,0.59654045,0.6844679,0.890835,0.64718306,0.55461526,0.43126437,0.89889306,0.61851317,0.4999882,0.47569677
thumb-md (10).jpg,0.4815384,0.36310387,0.9564762,0.42864951,0.5040469,0.53359455,0.4611656,0.97692937,0.97012615,0.48971733,0.47231144,0.3911687,0.95789844,0.416745,0.5777433,0.43589377,0.42110604,0.48255408,0.38957912,0.7156516,0.41075194,0.92516965,0.36824623,0.5266407,0.42566764,0.41161382,0.4369347,0.4064551,0.71146184,0.5637929,0.9798856,0.96457535,0.52676666,0.5815519,0.38721207,0.54440176,0.4239919,0.52436846,0.83015037,0.33006692,0.40554747,0.54527867,0.97855353,0.38357148,0.56060356,0.44301715,0.54521054,0.5417277,0.82754064,0.71076435,0.47396746,0.4800461,0.5054387,0.37736863,0.4216115,0.9470663,0.8776016,0.40432638,0.43124107,0.48658204,0.90787697,0.3742857,0.97107846,0.39835414,0.3540763,0.9442666,0.45087475,0.8693262,0.98738045,0.40097255,0.43891525,0.51886296,0.4277482,0.45324308,0.8503397,0.42551687,0.38774264,0.37059984,0.54230535,0.5393907,0.5557152,0.9999999,0.45187378,0.98062456,0.40754345,0.5785135,0.42993522,0.69939893,0.4883511,0.52181745,0.5339722,0.3175976,0.40961155,0.96700114,0.3830544,0.37479126,0.5273632,0.8575996,0.5106111,0.5120581,0.66625017,0.5553639,0.96499485,0.49942997,0.33539578,0.38469106,0.5343622,0.46582603,0.8559703,0.96614337,0.36574015,0.5738522,0.5642439,0.62058115,0.3843333,0.48295027,0.95697075,0.47854,0.5718949,0.45412105,0.36983025,0.48112667,0.5839257,0.417612,0.98707134,0.53196555,0.4841292,0.43708134,0.9233022,0.55911565,0.44806224,0.33435515,0.4602143,0.46849728,0.95145345,0.39882296,0.3963283,0.47939616,0.42660344,0.41500574,0.6866071
thumb-md (51).jpg,0.82268345,0.41535047,0.5356414,0.47897613,0.6996095,0.7352028,0.59270626,0.50643426,0.502973,0.49038607,0.86857164,0.77249694,0.502741,0.5255176,0.64426696,0.6704262,0.5628454,0.5245482,0.82418334,0.30924615,0.49644178,0.56824094,0.6210566,0.7102801,0.64682,0.4635835,0.86069036,0.53912306,0.289593,0.88764316,0.41876316,0.51594245,0.8372914,0.81996596,0.622926,0.9192719,0.5237075,0.6899271,0.38914725,0.6238641,0.831392,0.8373386,0.43108472,0.60631365,0.79476124,0.62867635,0.78212184,0.71222186,0.34383744,0.3923071,0.63939,0.6339937,0.5257829,0.32951766,0.6338944,0.5312562,0.41997957,0.7183101,0.6506862,0.86825204,0.43142334,0.71601844,0.48087877,0.54057443,0.8166331,0.54707193,0.49901083,0.44009587,0.45911747,0.44223338,0.53477204,0.94813293,0.6391006,0.6924512,0.40845817,0.72811633,0.5058943,0.42460108,0.90770626,0.80398834,0.67561185,0.45187378,0.99999976,0.49844465,0.57232225,0.8396431,0.6419791,0.30636105,0.60433257,0.8159964,0.7956281,0.72742206,0.6705878,0.51382375,0.6447328,0.45540434,0.92907166,0.37145388,0.50548005,0.69938374,0.6774052,0.729841,0.4311268,0.84655285,0.6140676,0.6066577,0.7249675,0.6992308,0.39836332,0.5060469,0.60341465,0.71793187,0.8802417,0.6623765,0.42709324,0.75851303,0.57650244,0.6088321,0.8187925,0.6167063,0.5663047,0.8245647,0.6968463,0.6014256,0.4749956,0.68897146,0.8055444,0.9511944,0.48514575,0.81673455,0.7403555,0.726763,0.8145659,0.84867543,0.5855615,0.4525998,0.58100903,0.73585504,0.52010906,0.43310443,0.32223392
thumb-md (26).jpg,0.4679947,0.384774,0.9907446,0.45146194,0.563812,0.6158249,0.46656805,0.9937753,0.9958383,0.5477661,0.4708943,0.43194497,0.97575456,0.4309795,0.63196176,0.41139632,0.41438147,0.47587174,0.38512233,0.6715483,0.46227062,0.8913756,0.38514867,0.59848887,0.41286117,0.4692357,0.42921838,0.40919894,0.6600499,0.58733284,0.94016045,0.9936729,0.5657331,0.6296513,0.41631663,0.601602,0.4759016,0.58454955,0.7710881,0.3604929,0.44056675,0.57382447,0.95894396,0.47058725,0.6366905,0.42966542,0.5835993,0.6329739,0.76987076,0.6637963,0.598562,0.58576894,0.48748323,0.36445725,0.44549403,0.98385966,0.81811845,0.4580679,0.53661203,0.55915034,0.86171496,0.49513865,0.99737465,0.4142204,0.3533002,0.9738238,0.44961753,0.8106701,0.96042204,0.43392715,0.4738186,0.55445784,0.40355247,0.43543553,0.79232454,0.50439775,0.38994282,0.38996175,0.601881,0.5988382,0.6182255,0.98062456,0.49844465,0.9999999,0.40768957,0.6272104,0.41802573,0.6485252,0.5948642,0.6079072,0.59963936,0.3510654,0.44123662,0.9956753,0.3826794,0.39509067,0.57244015,0.8125824,0.5897728,0.59862614,0.7582283,0.6346512,0.9312354,0.5363915,0.31334054,0.35719648,0.6356696,0.57736003,0.7954284,0.99407053,0.35655248,0.63217556,0.6001495,0.7077819,0.39601633,0.51725215,0.94853085,0.57299805,0.5756845,0.57733864,0.49700087,0.5185267,0.6676407,0.4112759,0.9950367,0.57169163,0.52402985,0.48179236,0.8712833,0.6362325,0.44048536,0.3501188,0.5649967,0.5306848,0.93267435,0.42403156,0.38054496,0.57762086,0.44047529,0.4242641,0.63579834
thumb-md (71).jpg,0.8191113,0.80554223,0.42496628,0.72097725,0.6059537,0.6967308,0.9035623,0.44071516,0.4124409,0.64542437,0.82711756,0.6761881,0.5262756,0.90767574,0.7289979,0.9196843,0.850475,0.92929476,0.8442991,0.7228509,0.69905865,0.5535278,0.79979956,0.7164737,0.9733375,0.5472833,0.7944234,0.83044887,0.72224176,0.7524054,0.47488192,0.42275882,0.7684857,0.7773065,0.78215104,0.6495372,0.81958723,0.6345661,0.67185575,0.7046593,0.69513524,0.78008294,0.4848375,0.5607918,0.61251515,0.9748991,0.7891808,0.6495539,0.6385318,0.7704432,0.45323762,0.4876934,0.8144823,0.7678244,0.85243326,0.47798872,0.64749306,0.69724905,0.48014712,0.64481515,0.4821164,0.44160986,0.40006852,0.8992262,0.78153646,0.48077253,0.88474077,0.600147,0.45247933,0.7204676,0.88742965,0.71443534,0.9147618,0.9434365,0.6724515,0.65431046,0.859596,0.7245324,0.7465856,0.7616745,0.7046411,0.40754345,0.57232225,0.40768957,0.99999976,0.72526675,0.95201814,0.74455065,0.4993369,0.58755445,0.71485627,0.6551002,0.6808339,0.40601024,0.9629357,0.82404184,0.69988686,0.6165098,0.57161564,0.5177453,0.49390635,0.6894848,0.5167095,0.6165551,0.9043248,0.9079624,0.5637877,0.54378927,0.6556702,0.41382098,0.96370184,0.72198224,0.775303,0.67472625,0.75673527,0.6981235,0.46093765,0.4685375,0.8295677,0.50722563,0.44951445,0.70468926,0.603068,0.7608774,0.42396954,0.6261205,0.8285591,0.6416203,0.5631485,0.62878466,0.94232106,0.664256,0.5729788,0.7806303,0.46707276,0.81957036,0.83989525,0.49378175,0.9134763,0.7719352,0.7582774
thumb-md (67).jpg,0.878246,0.4967678,0.67390275,0.52876896,0.73565304,0.94532603,0.6557494,0.6627837,0.6297054,0.52717227,0.8742719,0.6253453,0.708313,0.7121185,0.81335723,0.7183038,0.54792356,0.74556375,0.77296025,0.45316774,0.58084697,0.5895388,0.66182286,0.9591395,0.7643871,0.44318938,0.82496667,0.6524492,0.4336087,0.95507103,0.5486647,0.65224606,0.97164094,0.97002417,0.56710374,0.9520101,0.6700791,0.6107711,0.50409687,0.48799124,0.7470081,0.97022176,0.568894,0.59920675,0.93958,0.71542937,0.95551795,0.858564,0.46044797,0.46824577,0.6576062,0.65599257,0.55521905,0.3495332,0.6347042,0.70268846,0.50971407,0.71973896,0.6764695,0.8558754,0.5332477,0.63244605,0.6231462,0.6234898,0.71439624,0.69753575,0.67858964,0.48884976,0.57363296,0.5039246,0.72936743,0.8819262,0.67535883,0.7761283,0.50393605,0.6539202,0.62558,0.45213014,0.94732344,0.952475,0.82375246,0.5785135,0.8396431,0.6272104,0.72526675,1.0000001,0.7281954,0.4284865,0.6210252,0.9198984,0.7796675,0.54457796,0.53920364,0.6398345,0.7201219,0.5555681,0.9101356,0.506679,0.56505126,0.7067374,0.7142402,0.8992434,0.5743538,0.744554,0.59107745,0.6342371,0.7004088,0.84055966,0.4924979,0.63372916,0.65614086,0.941713,0.9730932,0.8932261,0.4606424,0.7059307,0.6150839,0.72270536,0.94573516,0.62969166,0.60862947,0.876291,0.8811273,0.50997025,0.6020662,0.6168418,0.92924887,0.8590471,0.53748035,0.9660944,0.8339344,0.53686106,0.7339071,0.85317636,0.61518633,0.5856885,0.5418861,0.7005618,0.7267766,0.575857,0.44318545
